Stage,Date & Time (US EDT/UTC-4),Date EDT,Time EDT,Date & Time (Vietnam),Date VN,Time VN,Team 1,Team 2,Match #,Location,Ours?
Round of 16,"Tuesday, July 7, at 12:00 PM",July 7,12:00,"Tuesday, 7 July 2026 at 23:00:00",July 7,23:00,W86,W88,95,"Mercedes-Benz Stadium, Atlanta",Y
Round of 16,"Tuesday, July 7, at 4:00 PM",July 7,16:00,"Wednesday, 8 July 2026 at 03:00:00",July 8,3:00,W85,W87,96,"BC Place, Vancouver",Y
Quarterfinals,"Thursday, July 9, at 4:00 PM",July 9,16:00,"Friday, 10 July 2026 at 03:00:00",July 10,3:00,W89,W90,97,"Gillette Stadium, Foxborough",Y
Quarterfinals,"Friday, July 10, at 3:00 PM",July 10,15:00,"Saturday, 11 July 2026 at 02:00:00",July 11,2:00,W93,W94,98,"Sofi Stadium, Inglewood",Y
Quarterfinals,"Saturday, July 11, at 5:00 PM",July 11,17:00,"Sunday, 12 July 2026 at 04:00:00",July 12,4:00,W91,W92,99,"Hard Rock Stadium, Miami Gardens",Y
Quarterfinals,"Saturday, July 11, at 9:00 PM",July 11,21:00,"Sunday, 12 July 2026 at 08:00:00",July 12,8:00,W95,W96,100,"Arrowhead Stadium, Kansas City",Y
Semifinals,"Tuesday, July 14, at 3:00 PM",July 14,15:00,"Wednesday, 15 July 2026 at 02:00:00",July 15,2:00,W97,W98,101,"AT&T Stadium, Arlington",Y
Semifinals,"Wednesday, July 15, at 3:00 PM",July 15,15:00,"Thursday, 16 July 2026 at 02:00:00",July 16,2:00,W99,W100,102,"Mercedes-Benz Stadium, Atlanta",Y
Third Place,"Saturday, July 18, at 5:00 PM",July 18,17:00,"Sunday, 19 July 2026 at 04:00:00",July 19,4:00,L101,L102,103,"Hard Rock Stadium, Miami Gardens",Y
Final,"Sunday, July 19, at 3:00 PM",July 19,15:00,"Monday, 20 July 2026 at 02:00:00",July 20,2:00,W191,W102,104,"MetLife Stadium, East Rutherford",Y
