Stage,Date & Time (US EDT/UTC-4),Date,Eastern Daylight Time,Date & Time (Vietnam),Column 1,Column 2,Team 1,Team 2,Match #,Location,Ours?,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
Group K,"Tuesday, June 23, at 10:00 PM",June 23,22:00,"Wednesday, 24 June 2026 at 09:00:00",June 24,9:00,Colombia,DR Congo,48,"Estadio Akron, Zapopan",Y,,,,,,,,,,,,,,,,,,
Group B,"Wednesday, June 24, at 3:00 PM",June 24,15:00,"Thursday, 25 June 2026 at 02:00:00",June 25,2:00,Switzerland,Canada,51,"BC Place, Vancouver",,,,,,,,,,,,,,,,,,,
Group B,"Wednesday, June 24, at 3:00 PM",June 24,15:00,"Thursday, 25 June 2026 at 02:00:00",June 25,2:00,Bosnia and Herzegovina,Qatar,52,"Lumen Field, Seattle",,,,,,,,,,,,,,,,,,,
Group C,"Wednesday, June 24, at 6:00 PM",June 24,18:00,"Thursday, 25 June 2026 at 05:00:00",June 25,5:00,Scotland,Brazil,49,"Hard Rock Stadium, Miami Gardens",Y,,,,,,,,,,,,,,,,,,
Group C,"Wednesday, June 24, at 6:00 PM",June 24,18:00,"Thursday, 25 June 2026 at 05:00:00",June 25,5:00,Morocco,Haiti,50,"Mercedes-Benz Stadium, Atlanta",Y,,,,,,,,,,,,,,,,,,
Group A,"Wednesday, June 24, at 9:00 PM",June 24,21:00,"Thursday, 25 June 2026 at 08:00:00",June 25,8:00,Czechia,Mexico,53,"Estadio Azteca, Mexico City",,,,,,,,,,,,,,,,,,,
Group A,"Wednesday, June 24, at 9:00 PM",June 24,21:00,"Thursday, 25 June 2026 at 08:00:00",June 25,8:00,South Africa,South Korea,54,"Estadio BBVA, Guadalupe",,,,,,,,,,,,,,,,,,,
Group E,"Thursday, June 25, at 4:00 PM",June 25,16:00,"Friday, 26 June 2026 at 03:00:00",June 26,3:00,Curacao,Ivory Coast,55,"Lincoln Financial Field, Philadelphia",,,,,,,,,,,,,,,,,,,
Group E,"Thursday, June 25, at 4:00 PM",June 25,16:00,"Friday, 26 June 2026 at 03:00:00",June 26,3:00,Ecuador,Germany,56,"MetLife Stadium, East Rutherford",,,,,,,,,,,,,,,,,,,
Group F,"Thursday, June 25, at 7:00 PM",June 25,19:00,"Friday, 26 June 2026 at 06:00:00",June 26,6:00,Japan,Sweden,57,"AT&T Stadium, Arlington",Y,,,,,,,,,,,,,,,,,,
